Problem name,experiment number,distance,time (seconds)
p43,14,5633,8.30427
p43,15,5633,8.27219
p43,16,5631,8.29964
p43,17,5636,8.27267
p43,18,5633,8.27364
p43,19,5631,8.27686
p43,20,5633,8.27461
p43,21,5631,8.31302
p43,22,5636,8.28221
p43,23,5633,8.30668
p43,24,5631,8.26958
p43,25,5631,8.27312
p43,26,5631,8.2819
p43,27,5636,8.29232
p43,28,5631,8.28942
p43,29,5633,8.28458
pr76,0,118265,28.663
pr76,1,118549,28.6491
pr76,2,117941,28.6326
pr76,3,117219,28.6711
pr76,4,117749,28.64
pr76,5,117197,28.6395
pr76,6,116929,28.6549
pr76,7,115499,28.6481
pr76,8,119142,28.6482
pr76,9,118696,28.6603
pr76,10,118106,28.6654
pr76,11,117624,28.6527
pr76,12,118546,28.6392
pr76,13,117857,28.6635
pr76,14,117999,28.65
pr76,15,117343,28.6269
pr76,16,117832,28.6768
pr76,17,118366,28.6461
pr76,18,117924,28.6511
pr76,19,118218,28.6864
pr76,20,118154,28.6438
pr76,21,118566,28.6487
pr76,22,117293,28.6631
pr76,23,116851,28.6377
pr76,24,118759,28.6395
pr76,25,115222,28.6399
pr76,26,115975,28.6624
pr76,27,116538,28.6469
pr76,28,117480,28.6481
pr76,29,118917,28.6726
rat99,0,1324.18,48.7661
rat99,1,1324.18,48.7436
rat99,2,1321.73,48.7887
rat99,3,1324.18,48.7857
rat99,4,1322.91,48.7642
rat99,5,1329.49,48.7834
rat99,6,1314.99,48.7654
rat99,7,1324.33,48.7933
rat99,8,1324.18,48.7607
rat99,9,1313.22,48.7936
rat99,10,1319.07,48.8044
rat99,11,1329.88,48.7821
rat99,12,1319.3,48.7801
rat99,13,1331.21,48.8048
rat99,14,1325.55,48.7852
rat99,15,1328.91,48.7677
rat99,16,1318.79,48.7877
rat99,17,1327.65,48.7544
rat99,18,1322.91,48.7566
rat99,19,1312.22,48.8104
rat99,20,1331.03,48.7751
rat99,21,1328.06,48.7998
rat99,22,1313.56,48.7612
rat99,23,1327.45,48.7833
rat99,24,1331.42,48.8046
rat99,25,1324.08,48.7617
rat99,26,1338.29,48.7895
rat99,27,1328.39,48.7822
rat99,28,1337.32,48.8051
rat99,29,1323.76,48.7927
rd100,0,8488.66,51.3146
rd100,1,8525.58,51.3469
rd100,2,8493.6,51.3111
rd100,3,8548.89,51.314
rd100,4,8444.12,51.3061
rd100,5,8468.77,51.3141
rd100,6,8506.46,51.3096
rd100,7,8488.66,51.3387
rd100,8,8582.82,51.2973
rd100,9,8546.11,51.3452
rd100,10,8482.38,51.2931
rd100,11,8512.4,51.3111
rd100,12,8512.1,51.3048
rd100,13,8491.08,51.3367
rd100,14,8468.77,51.3165
rd100,15,8493.96,51.295
rd100,16,8491.08,51.346
rd100,17,8506.46,51.3243
rd100,18,8506.46,51.2841
rd100,19,8541.18,51.3342
rd100,20,8417.34,51.3266
rd100,21,8482.38,51.32
rd100,22,8538.87,51.2979
rd100,23,8462.69,51.3064
rd100,24,8518.11,51.3019
rd100,25,8501.68,51.3331
rd100,26,8525.58,51.2949
rd100,27,8506.46,51.2953
rd100,28,8506.46,51.3404
rd100,29,8491.08,51.3056
ry48p,0,15521,12.1185
ry48p,1,15537,12.1583
ry48p,2,15462,12.1267
ry48p,3,15462,12.1232
ry48p,4,15373,12.1428
ry48p,5,15462,12.1218
ry48p,6,15523,12.1188
ry48p,7,15575,12.1419
ry48p,8,15462,12.1317
ry48p,9,15462,12.1285
ry48p,10,15540,12.1301
ry48p,11,15500,12.1358
ry48p,12,15513,12.1243
ry48p,13,15575,12.1284
ry48p,14,15437,12.1207
ry48p,15,15566,12.1219
ry48p,16,15462,12.1439
ry48p,17,15485,12.1264
ry48p,18,15566,12.1309
ry48p,19,15559,12.1333
ry48p,20,15472,12.1197
ry48p,21,15474,12.1177
ry48p,22,15523,12.148
ry48p,23,15472,12.1217
ry48p,24,15566,12.1196
ry48p,25,15540,12.1439
ry48p,26,15433,12.1217
ry48p,27,15397,12.125
ry48p,28,15444,12.1383
ry48p,29,15462,12.1272
st70,0,709.512,25.5271
st70,1,706.62,25.5214
st70,2,713.985,25.5683
st70,3,712.168,25.5234
st70,4,710.129,25.5305
st70,5,712.807,25.5714
st70,6,712.204,25.8538
st70,7,715.986,25.5291
st70,8,714.753,25.5545
st70,9,709.066,25.5387
st70,10,710.299,25.5423
st70,11,710.531,25.5249
st70,12,710.531,25.5648
st70,13,710.039,25.5653
st70,14,715.986,25.5313
st70,15,712.807,25.524
st70,16,715.986,25.5464
st70,17,706.62,25.5661
st70,18,714.67,25.5332
st70,19,714.999,25.5253
st70,20,715.986,25.5231
st70,21,715.986,25.5339
st70,22,710.002,25.5301
st70,23,712.321,25.5318
st70,24,716.122,25.5573
st70,25,705.408,25.5269
st70,26,716.084,25.5278
st70,27,709.236,25.5338
st70,28,711.477,25.5291
st70,29,710.531,25.5265
swiss42,0,1299,9.23727
swiss42,1,1299,9.20875
swiss42,2,1293,9.209
swiss42,3,1299,9.21337
swiss42,4,1287,9.21109
swiss42,5,1299,9.20338
swiss42,6,1299,9.20783
swiss42,7,1299,9.21025
swiss42,8,1299,9.24383
swiss42,9,1299,9.22087
swiss42,10,1295,9.21111
swiss42,11,1299,9.21737
swiss42,12,1299,9.20622
swiss42,13,1299,9.20738
swiss42,14,1294,9.21336
swiss42,15,1299,9.21325
swiss42,16,1299,9.20776
swiss42,17,1299,9.20505
swiss42,18,1299,9.21223
swiss42,19,1291,9.21808
swiss42,20,1299,9.23943
swiss42,21,1299,9.22505
swiss42,22,1297,9.20369
swiss42,23,1299,9.20918
swiss42,24,1299,9.21142
swiss42,25,1299,9.21049
swiss42,26,1299,9.20838
swiss42,27,1299,9.20281
swiss42,28,1299,9.21016
swiss42,29,1299,9.20762
